Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	basic_statistics	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	avg_sequence_length	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores
221014Esv_D22-10169_R1	221014Esv_D22-10169_R1.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10169_R2	221014Esv_D22-10169_R2.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10170_R1	221014Esv_D22-10170_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1116942.0	0.0	300.0	41.0	95.84537000592638	pass	fail	fail	pass	pass	pass	pass	fail	300.0	fail	warn	pass
221014Esv_D22-10170_R2	221014Esv_D22-10170_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1116942.0	0.0	300.0	42.0	96.24877746429978	pass	fail	fail	pass	pass	pass	pass	fail	300.0	fail	pass	pass
221014Esv_D22-10171_R1	221014Esv_D22-10171_R1.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10171_R2	221014Esv_D22-10171_R2.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10172_R1	221014Esv_D22-10172_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202.0	0.0	300.0	37.0	99.5049504950495	pass	fail	fail	pass	pass	pass	warn	fail	300.0	fail	fail	fail
221014Esv_D22-10172_R2	221014Esv_D22-10172_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202.0	0.0	300.0	41.0	100.0	pass	fail	fail	pass	pass	pass	warn	fail	300.0	fail	fail	fail
221014Esv_D22-10173_R1	221014Esv_D22-10173_R1.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10173_R2	221014Esv_D22-10173_R2.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10174_R1	221014Esv_D22-10174_R1.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10174_R2	221014Esv_D22-10174_R2.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10175_R1	221014Esv_D22-10175_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	732.0	0.0	300.0	40.0	96.99453551912568	pass	fail	fail	pass	pass	pass	fail	fail	300.0	fail	fail	fail
221014Esv_D22-10175_R2	221014Esv_D22-10175_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	732.0	0.0	300.0	42.0	99.59016393442623	pass	fail	fail	pass	pass	pass	warn	fail	300.0	fail	fail	fail
221014Esv_D22-10176_R1	221014Esv_D22-10176_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	661.0	0.0	300.0	41.0	98.48714069591527	pass	fail	fail	pass	pass	pass	fail	fail	300.0	fail	fail	fail
221014Esv_D22-10176_R2	221014Esv_D22-10176_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	661.0	0.0	300.0	43.0	99.84871406959152	pass	fail	fail	pass	pass	pass	warn	fail	300.0	fail	fail	fail
221014Esv_D22-10177_R1	221014Esv_D22-10177_R1.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10177_R2	221014Esv_D22-10177_R2.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
221014Esv_D22-10178_R1	221014Esv_D22-10178_R1.fastq.gz	null	Illumina 1.5	0.0	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn				
