Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
221014Esv_D22-10169_R1	0.0	0.0	0	0.0	0.0
221014Esv_D22-10169_R2	0.0	0.0	0	0.0	0.0
221014Esv_D22-10170_R1	4.154629994073616	41.0	300.0	36.36363636363637	1116942.0
221014Esv_D22-10170_R2	3.7512225357002222	42.0	300.0	36.36363636363637	1116942.0
221014Esv_D22-10171_R1	0.0	0.0	0	0.0	0.0
221014Esv_D22-10171_R2	0.0	0.0	0	0.0	0.0
221014Esv_D22-10172_R1	0.4950495049505008	37.0	300.0	54.54545454545454	202.0
221014Esv_D22-10172_R2	0.0	41.0	300.0	54.54545454545454	202.0
221014Esv_D22-10173_R1	0.0	0.0	0	0.0	0.0
221014Esv_D22-10173_R2	0.0	0.0	0	0.0	0.0
221014Esv_D22-10174_R1	0.0	0.0	0	0.0	0.0
221014Esv_D22-10174_R2	0.0	0.0	0	0.0	0.0
221014Esv_D22-10175_R1	3.0054644808743234	40.0	300.0	63.63636363636363	732.0
221014Esv_D22-10175_R2	0.4098360655737707	42.0	300.0	54.54545454545454	732.0
221014Esv_D22-10176_R1	1.5128593040847278	41.0	300.0	63.63636363636363	661.0
221014Esv_D22-10176_R2	0.15128593040847704	43.0	300.0	54.54545454545454	661.0
221014Esv_D22-10177_R1	0.0	0.0	0	0.0	0.0
221014Esv_D22-10177_R2	0.0	0.0	0	0.0	0.0
221014Esv_D22-10178_R1	0.0	0.0	0	0.0	0.0
221014Esv_D22-10178_R2	0.0	0.0	0	0.0	0.0
221014Esv_D22-10179_R1	0.0	0.0	0	0.0	0.0
221014Esv_D22-10179_R2	0.0	0.0	0	0.0	0.0
221014Esv_D22-10180_R1	3.6529680365296855	39.0	300.0	63.63636363636363	219.0
221014Esv_D22-10180_R2	0.0	43.0	300.0	54.54545454545454	219.0
221014Esv_D22-10330_R1	4.209673992834851	39.0	300.0	36.36363636363637	1396675.0
221014Esv_D22-10330_R2	3.9710163683521245	41.0	300.0	36.36363636363637	1396675.0
221014Esv_D22-10331_R1	4.502951167313	40.0	300.0	36.36363636363637	1384019.0
221014Esv_D22-10331_R2	4.113120896577726	42.0	300.0	36.36363636363637	1384019.0
221014Esv_D22-10332_R1	0.521706683418202	41.0	300.0	45.45454545454545	1132444.0
221014Esv_D22-10332_R2	0.49523523680180404	43.0	300.0	45.45454545454545	1132444.0
221014Esv_D22-10333_R1	0.9175325392553333	42.0	300.0	45.45454545454545	1202489.0
221014Esv_D22-10333_R2	0.8378350523042997	42.0	300.0	45.45454545454545	1202489.0
221014Esv_D22-10334_R1	4.188092851790202	40.0	300.0	45.45454545454545	1496319.0
221014Esv_D22-10334_R2	3.9937838799752683	42.0	300.0	45.45454545454545	1496319.0
221014Esv_D22-10335_R1	4.491904281694957	40.0	300.0	45.45454545454545	1382857.0
221014Esv_D22-10335_R2	4.156639992142374	41.0	300.0	45.45454545454545	1382857.0
221014Esv_D22-10336_R1	3.267276406614684	40.0	300.0	36.36363636363637	1079381.0
221014Esv_D22-10336_R2	3.0447781223186325	42.0	300.0	45.45454545454545	1079381.0
