Sample Name,Host Organism,Sample Type,Nucleotide Type,Collection Date,Wastewater Plant,is_enriched,Water Control,Collection Location
221014Esv_D22-10169,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10170,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10171,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10172,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10173,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10174,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10175,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10176,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10177,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10178,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10179,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10180,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10330,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10331,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10332,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10333,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10334,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10335,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
221014Esv_D22-10336,Human,Environmental,DNA,2020-05,Anonymous,0,No,USA
