contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_1_length_4889_cov_3.583998,826,4889,3.583998,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1970550,-200,-300,356,28211,1224,-650,2,Bacteria,OYX04748.1,69.697,264,80,3.51e-125,394.0
NODE_2_length_3266_cov_4.445046,652,3266,4.445046,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP000089.1,97.18,3156,66,0.0,5313.0,1049336,50582,50581,30073,50557,6656,33208,2759,Eukaryota,KAF4513756.1,97.11,173,5,2.93e-111,348.0
NODE_3_length_3218_cov_2.709156,492,3218,2.709156,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP031842.1,96.471,85,2,1.28e-28,139.0,3870,3869,3803,72025,3398,35493,33090,2759,Eukaryota,KAF1858532.1,66.258,163,26,1.42e-67,198.0
NODE_4_length_3091_cov_2.236505,374,3091,2.236505,194424,57665,72294,213849,29547,1224,-650,2,Bacteria,CP017111.1,87.047,193,16,9.25e-50,209.0,206,194,72294,213849,29547,1224,-650,2,Bacteria,ASM34841.1,82.407,108,19,7.48e-52,179.0
NODE_5_length_3064_cov_2.559074,512,3064,2.559074,2231112,223785,292630,213849,29547,1224,-650,2,Bacteria,AP019005.1,92.308,65,5,9.63e-15,93.5,1852939,-200,-300,-400,-500,-600,-650,2,Bacteria,OQB03781.1,50.847,118,57,4.63e-26,106.0
NODE_6_length_2519_cov_0.324833,469,2519,0.324833,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1278212,28196,72294,213849,29547,1224,-650,2,Bacteria,WP_118885742.1,40.299,67,37,0.25,37.7
NODE_7_length_2505_cov_1.537426,260,2505,1.537426,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1509405,1903858,82115,356,28211,1224,-650,2,Bacteria,WP_037189660.1,35.052,291,152,5.29e-45,165.0
NODE_8_length_2470_cov_4.487836,569,2470,4.487836,1278212,28196,72294,213849,29547,1224,-650,2,Bacteria,CP032100.1,99.272,2472,14,0.0,4462.0,42157,6281,6296,6236,119089,6231,33208,2759,Eukaryota,VDN00566.1,66.197,142,48,5.91e-48,172.0
NODE_9_length_2295_cov_1.008303,233,2295,1.008303,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026760,-200,-300,-400,-500,62680,-650,2,Bacteria,RKY52229.1,38.905,347,193,3.69e-65,224.0
NODE_10_length_2259_cov_1.931989,266,2259,1.931989,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1509405,1903858,82115,356,28211,1224,-650,2,Bacteria,WP_037189663.1,42.731,227,125,1.88e-48,173.0
