contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_1_length_6322_cov_3.055690,1150,6322,3.055690,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP031842.1,90.071,2518,201,0.0,3219.0,1049336,50582,50581,30073,50557,6656,33208,2759,Eukaryota,KAF4513756.1,97.11,173,5,2.8e-108,348.0
NODE_2_length_5324_cov_3.238214,726,5324,3.238214,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1970550,-200,-300,356,28211,1224,-650,2,Bacteria,OYX04748.1,69.697,264,80,2.85e-125,395.0
NODE_3_length_3267_cov_4.331847,665,3267,4.331847,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2011011,1386,186817,1385,91061,1239,-650,2,Bacteria,WP_106408550.1,45.614,57,29,1.34e-11,66.2
NODE_4_length_2612_cov_2.064386,297,2612,2.064386,1400053,-200,-300,171549,200643,976,-650,2,Bacteria,CP006772.1,94.558,2536,124,0.0,3906.0,3870,3869,3803,72025,3398,35493,33090,2759,Eukaryota,KAF1853292.1,62.543,291,57,3.97e-92,292.0
NODE_5_length_2554_cov_0.932427,241,2554,0.932427,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852939,-200,-300,-400,-500,-600,-650,2,Bacteria,OQB03779.1,53.636,220,97,1.89e-74,245.0
NODE_6_length_2483_cov_2.646435,459,2483,2.646435,1278212,28196,72294,213849,29547,1224,-650,2,Bacteria,CP032100.1,98.673,2487,25,0.0,4403.0,42157,6281,6296,6236,119089,6231,33208,2759,Eukaryota,VDN00566.1,66.197,142,48,4.84e-48,172.0
NODE_7_length_2416_cov_2.530363,262,2416,2.530363,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,196,194,72294,213849,29547,1224,-650,2,Bacteria,WP_065841787.1,37.853,354,194,3.91e-62,215.0
NODE_8_length_2409_cov_1.755916,286,2409,1.755916,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1618717,-200,-300,-400,-500,1752737,-650,2,Bacteria,KKQ06417.1,33.835,532,313,1.18e-84,285.0
NODE_9_length_2391_cov_1.125883,97,2391,1.125883,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,28118,283168,1853231,171549,200643,976,-650,2,Bacteria,WP_195360335.1,58.716,545,217,0.0,679.0
NODE_10_length_2292_cov_0.978753,156,2292,0.978753,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA83956.1,45.533,582,311,0.0,557.0
NODE_11_length_2267_cov_1.038318,205,2267,1.038318,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026760,-200,-300,-400,-500,62680,-650,2,Bacteria,RKY52229.1,38.905,347,193,3.54e-64,221.0
