contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_1_length_49162_cov_15.992516,39919,49162,15.992516,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,CAB4130627.1,40.675,681,389,9.21e-127,420.0
NODE_2_length_23733_cov_3.551470,2890,23733,3.551470,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,CAB4240684.1,60.714,532,200,0.0,683.0
NODE_3_length_13442_cov_3.693729,2021,13442,3.693729,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,CAB4240659.1,46.341,246,122,8.23e-63,217.0
NODE_4_length_11391_cov_11.431463,6437,11391,11.431463,2231112,223785,292630,213849,29547,1224,-650,2,Bacteria,AP019005.1,92.308,65,5,1.64e-14,93.5,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA58887.1,30.488,574,352,5.96e-84,290.0
NODE_5_length_10919_cov_8.049203,7144,10919,8.049203,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852850,-200,-300,-400,-500,74015,-650,2,Bacteria,OQB34950.1,47.556,225,115,1.57e-52,190.0
NODE_6_length_8862_cov_4.436176,1487,8862,4.436176,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2015799,-200,45401,356,28211,1224,-650,2,Bacteria,TXH11240.1,47.948,536,258,3.15e-150,479.0
NODE_7_length_8661_cov_13.031638,5457,8661,13.031638,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,CAB4145539.1,35.841,731,421,2.37e-128,425.0
NODE_8_length_8406_cov_2.951323,1655,8406,2.951323,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2655002,-200,10744,28883,2731619,2731618,-650,10239,Viruses,QFR59692.1,60.943,594,231,0.0,762.0
NODE_9_length_7884_cov_4.252288,1710,7884,4.252288,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1860101,83766,75787,206389,28216,1224,-650,2,Bacteria,SBT10673.1,69.109,696,195,0.0,978.0
NODE_10_length_7114_cov_18.465722,8703,7114,18.465722,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026735,-200,-300,-400,28221,1224,-650,2,Bacteria,RLA76495.1,31.535,241,150,1.99e-24,106.0
NODE_11_length_6480_cov_2.601763,703,6480,2.601763,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,942866,106589,119060,80840,28216,1224,-650,2,Bacteria,PZX32024.1,75.182,137,34,1.39e-61,214.0
NODE_12_length_6204_cov_1.946191,1382,6204,1.946191,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1619080,-200,-300,-400,-500,-600,-650,2,Bacteria,KKP51371.1,35.07,499,294,9.45e-82,280.0
NODE_13_length_5610_cov_3.662229,928,5610,3.662229,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852816,-200,-300,-400,-500,976,-650,2,Bacteria,OPZ47289.1,89.427,558,58,0.0,1009.0
NODE_14_length_5576_cov_3.340613,701,5576,3.340613,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,40324,40323,32033,135614,1236,1224,-650,2,Bacteria,VUO89897.1,59.079,369,147,8.84e-139,437.0
NODE_15_length_5384_cov_1.738824,567,5384,1.738824,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026735,-200,-300,-400,28221,1224,-650,2,Bacteria,RPI56284.1,49.213,762,374,0.0,678.0
NODE_16_length_5370_cov_3.725920,2153,5370,3.725920,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1509405,1903858,82115,356,28211,1224,-650,2,Bacteria,WP_037189660.1,49.462,279,129,5.98e-79,263.0
NODE_17_length_5316_cov_9.466564,6343,5316,9.466564,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA58392.1,36.675,379,216,8.8e-61,217.0
NODE_18_length_5150_cov_2.177583,471,5150,2.177583,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2049433,-200,213119,213118,28221,1224,-650,2,Bacteria,RPJ14074.1,36.286,350,208,9.65e-59,209.0
NODE_19_length_4959_cov_2.636382,629,4959,2.636382,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1898103,-200,75787,206389,28216,1224,-650,2,Bacteria,TXH04702.1,49.257,404,204,3.32e-118,382.0
NODE_20_length_4679_cov_1.674209,457,4679,1.674209,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026735,-200,-300,-400,28221,1224,-650,2,Bacteria,RPI56279.1,76.871,147,34,1.61e-64,216.0
NODE_21_length_4626_cov_2.693265,446,4626,2.693265,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1895718,-200,-300,171549,200643,976,-650,2,Bacteria,OJV40844.1,43.23,421,228,2.07e-97,322.0
NODE_22_length_4603_cov_8.264745,3952,4603,8.264745,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,478,475,468,72274,1236,1224,-650,2,Bacteria,WP_066893668.1,35.749,828,496,5.14e-156,498.0
NODE_23_length_4596_cov_1.527187,340,4596,1.527187,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1802176,-200,-300,-400,-500,203691,-650,2,Bacteria,OHD24020.1,39.718,355,182,1.46e-74,254.0
NODE_24_length_4552_cov_2.343503,599,4552,2.343503,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852879,-200,-300,-400,-500,28890,-650,2157,Archaea,OPZ42090.1,47.222,108,46,6.91e-18,82.0
NODE_25_length_4455_cov_3.059381,592,4455,3.059381,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,309797,118004,189770,189769,118001,200938,-650,2,Bacteria,WP_160165061.1,46.032,126,68,1.14e-30,119.0
NODE_26_length_4408_cov_16.544733,4845,4408,16.544733,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA83956.1,44.344,663,363,0.0,609.0
NODE_27_length_4398_cov_4.079138,1256,4398,4.079138,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,CAB4177834.1,58.929,392,137,5.22e-139,433.0
NODE_28_length_4230_cov_4.467707,1147,4230,4.467707,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA58887.1,33.513,558,319,8.34e-96,321.0
NODE_29_length_4219_cov_1.700147,245,4219,1.700147,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,LR798412.1,83.66,459,68,5.25e-115,425.0,621374,2718863,119060,80840,28216,1224,-650,2,Bacteria,WP_175104417.1,57.037,405,131,2.94e-127,400.0
NODE_30_length_4213_cov_1.143172,339,4213,1.143172,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1414737,-200,10699,28883,2731619,2731618,-650,10239,Viruses,YP_009003214.1,26.303,403,266,9.89e-32,131.0
